,categories,location,name,rating,review_count,snippet_text,yelp_id
10,"[Category(name='Gastropubs', alias='gastropubs'), Category(name='Bars', alias='bars')]","(40.7754973292854, -73.9532944368176)",The Penrose,4.0,615,Came in here again last night for a couple of drinks. The bar has a great vibe at night! Warm and cozy and a great crowd. I'd have preferred the music to be...,the-penrose-new-york
11,"[Category(name='Bars', alias='bars'), Category(name='American (New)', alias='newamerican')]","(40.7535743713379, -73.9914321899414)",District Social,4.5,91,"The Brussels sprouts appetizer is life changing. Do it, I promise you, you'll be happy. 

Octopus is also excellent. And the shrimp flatbread was...",district-social-new-york
12,"[Category(name='American (New)', alias='newamerican'), Category(name='Cocktail Bars', alias='cocktailbars')]","(40.763409, -73.968449)",The Bar Room,4.0,242,"The bar room was just as I expected. Very old-fashioned looking, classy and yet adorable. The lamb meatballs with yogurt sauce and korean bbq salmon were...",the-bar-room-new-york
13,"[Category(name='Bars', alias='bars'), Category(name='Gastropubs', alias='gastropubs'), Category(name='American (New)', alias='newamerican')]","(40.761108, -73.962989)",The Jeffrey Craft Beer & Bites,4.0,453,"Cool people, great vibes, and an all around awesome place to grab a great bite to eat and some delicious drinks.  

Not NYC pretentious.  Not hipster...",the-jeffrey-craft-beer-and-bites-new-york
14,"[Category(name='Bars', alias='bars')]","(40.8286495970992, -73.9485832208136)",At the Wallace,4.5,93,So I have lived in Harlem for several years and saw a couple of my friends either check-in to this bar or write a review.  On a Sunday I decided to be...,at-the-wallace-new-york-3
15,"[Category(name='Wine Bars', alias='wine_bars'), Category(name='Italian', alias='italian')]","(40.7986510380525, -73.9424410834908)",D'Amore Winebar & Ristorante,4.5,143,"I love this place! Cute, cozy, great vibe. Great spot for dates.
The owner is very friendly and makes you feel at home.
They have a great wine...",d-amore-winebar-and-ristorante-new-york
16,"[Category(name='Lounges', alias='lounges')]","(40.7423540864346, -74.0063398693085)",The Tippler,4.0,505,"Surprised I had to wait in line to get into this bar. It's underground so it's kind of a basement speakeasy feel. 

Was packed on a Saturday evening and was...",the-tippler-new-york
17,"[Category(name='Bars', alias='bars')]","(40.7697372436523, -73.9542465209961)",The Pony Bar,4.0,259,"Five stars because it it an amazing place with wonderful vibe and astounding collection of craft beers.   This place is a gift. 

The food menu is very...",the-pony-bar-new-york-2
18,"[Category(name='Wine Bars', alias='wine_bars'), Category(name='Tapas Bars', alias='tapas'), Category(name='Coffee & Tea', alias='coffee')]","(40.8475547801175, -73.9386567984486)",Kazza Coffee & Wine Bar,4.5,47,"Sangria and goat cheese flatbread are my go to items

Friday nights flat bread is half off

Happy hour every night till 8",kazza-coffee-and-wine-bar-new-york-3
19,"[Category(name='American (New)', alias='newamerican'), Category(name='Pubs', alias='pubs')]","(40.8287505666631, -73.9485814944427)",Harlem Public,4.0,565,Amazing! We started off at the bar while we waited for our table to be ready. We met Roni (bartender) at the bar. I asked for the famous Yelp drink...,harlem-public-new-york
20,"[Category(name='Cocktail Bars', alias='cocktailbars')]","(40.7198443, -73.99947)",The Ship,4.0,154,"My fiance and I live in the neighborhood and this is one of our favorite cocktail bars. We love to experiment and try all their drinks, and we have not had...",the-ship-new-york
21,"[Category(name='Bars', alias='bars'), Category(name='Breweries', alias='breweries')]","(40.74945, -73.9827)",The Ginger Man,4.0,1130,"Let's say you are looking for a great beer selection. Let's also say you are in Midtown Manhattan. You may be thinking ""I'll never find anything around...",the-ginger-man-new-york
22,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='American (New)', alias='newamerican')]","(40.7386178790617, -73.9834206895483)",Ampersand,4.5,62,"Hidden gem. Amazing cocktails no matter what type of hard liquor fan you are! We got the ""Bees Knees"" and ""I'll Have Another"" - absolutely delicious. 

This...",ampersand-new-york-2
23,"[Category(name='Bars', alias='bars')]","(40.80078, -73.96587)",Amsterdam Tavern,4.0,190,Was here with friends tonight and had THE MOST amazing nachos! (Thank you other yelpers for the recommendation). Make sure you have someone to share them...,amsterdam-tavern-new-york
24,"[Category(name='Pubs', alias='pubs'), Category(name='Sports Bars', alias='sportsbars'), Category(name='Dive Bars', alias='divebars')]","(40.756599, -73.984832)",Jimmy's Corner,4.0,423,"This is my pregame spot! Basically in TS, no tourists at all. It's a little, cozy hole in the wall with awesome cheap drinks. $3 beers yessssss pleaaaase!...",jimmys-corner-new-york
25,"[Category(name='Cocktail Bars', alias='cocktailbars')]","(40.805824, -73.953964)",Mess Hall,4.0,67,"Love Mess Hall. 

Enormous whiskey selection and beer too, but don't discount the cocktails!

I've always had great service here too. 

Go for: the chill...",mess-hall-harlem
26,"[Category(name='Wine Bars', alias='wine_bars')]","(40.776280321841, -73.9832221055325)",Vanguard Wine Bar,4.5,84,The Vanguard Wine Bar is an excellent addition to the UWS. I stopped in with a friend prior to seeing a show at Lincoln Center and managed to snag the last...,vanguard-wine-bar-new-york-2
27,"[Category(name='Bars', alias='bars'), Category(name='Music Venues', alias='musicvenues')]","(40.8172982186079, -73.9420799911022)",Harlem Nights,4.5,59,"I was visiting my aunt from California and I decided to check out local dive bars I could walk to from her apt.
I found this wooden decor bar called Harlem...",harlem-nights-new-york
28,"[Category(name='Beer Bar', alias='beerbar')]","(40.7272506368689, -73.9845192432404)",Proletariat,4.0,239,"This has to be the best beer bar in the city, and I'm almost willing one of the best in the country just based on rarity and uniqueness of the beers. They...",proletariat-new-york
29,"[Category(name='Bars', alias='bars')]","(40.7251837849617, -73.9778512716293)",The Wayland,4.5,369,During my trip to NYC I spent many hours at The Wayland over the course of a few days. For a 4 person dinner we chose to be seated at a table but I actually...,the-wayland-new-york
30,"[Category(name='Bars', alias='bars')]","(40.802143, -73.964065)",Lion's Head Tavern,4.0,154,Right around the corner from my apt. this place is so good for takeout. Their wings are amazing and their tater tots with cheese are great too!  I wish they...,lions-head-tavern-new-york
31,"[Category(name='American (New)', alias='newamerican'), Category(name='Bars', alias='bars'), Category(name='Desserts', alias='desserts')]","(40.7835419476032, -73.9743952453136)",The Milling Room,4.0,142,"Really lovely ambience. Breathtaking actually, especially in the main dining room... Reminds me of a modern version of my grandmothers house - right down to...",the-milling-room-new-york-2
32,"[Category(name='Sports Bars', alias='sportsbars')]","(40.76405, -73.98311)",The Three Monkeys,4.0,676,This is more than a sports bar. We went for dinner about 7 on a Saturday night (before the youngins got there for their night out) and it was lovely. We sat...,the-three-monkeys-new-york-3
33,"[Category(name='Beer Bar', alias='beerbar'), Category(name='American (New)', alias='newamerican')]","(40.7645799, -73.9914759)",As Is NYC,4.5,51,"Visited this place on Saturday night for the first time following a suggestion from a friend. Immediately fell in love. 

First, awesome atmosphere, awesome...",as-is-nyc-new-york
34,"[Category(name='Sports Bars', alias='sportsbars'), Category(name='Gastropubs', alias='gastropubs'), Category(name='Pubs', alias='pubs')]","(40.7539825439453, -73.9904556274414)",District Tap House,4.0,408,"Been to District Tap House two times now. Once just for a drink and now went and got some apps. 

The food menu is a bit upscale instead of typical bar...",district-tap-house-new-york
35,"[Category(name='Lounges', alias='lounges')]","(40.7796219063528, -73.9501479663365)",The Auction House,4.0,342,"Seriously a gem in the neighborhood! I highly recommend it. It was a pretty low key, intimate place on a Thursday night. High ceilings and Victorian style...",the-auction-house-new-york
36,"[Category(name='Bars', alias='bars'), Category(name='Irish', alias='irish')]","(40.703297, -74.011017)",The Dead Rabbit,4.0,791,"I've been to The Dead Rabbit a few times and braved the 1st floor, Taproom and 3rd floor crowd. The Dead Rabbit is always a good time so I went again...",the-dead-rabbit-new-york
37,"[Category(name='Bars', alias='bars')]","(40.7436723627234, -74.0033376216888)",Bathtub Gin,4.0,559,"The funnest. A real, hidden speakeasy. Plus it's not impossible to get in to! I made same-day reservations twice recently: once on a Friday at prime-time...",bathtub-gin-new-york
38,"[Category(name='American (New)', alias='newamerican'), Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]","(40.7591968, -73.9923361)",Bea,4.0,894,"Super cool vibe with black and white movies playing on whitewashed brick walls, crystal doorknobs, and old school lighting but let's get to that green pasta...",bea-new-york
39,"[Category(name='Beer Bar', alias='beerbar')]","(40.8065912, -73.9610353)",Arts and Crafts Beer Parlor - Soha,4.0,21,"I've always loved their location down on 8th St., and was beyond thrilled when I found out one was opening just a few blocks from my apartment. Columbia has...",arts-and-crafts-beer-parlor-soha-new-york-2
40,"[Category(name='Bars', alias='bars')]","(40.758377, -73.966515)",Draught 55,4.0,233,"Amazing Sunday Brunch!!!

Excellent food and drink, outstanding service and atmosphere, coupled with reasonable prices--A truly great place to have in the...",draught-55-new-york
41,"[Category(name='Italian', alias='italian'), Category(name='Bars', alias='bars'), Category(name='Tapas Bars', alias='tapas')]","(40.7395020872355, -73.9990561455488)",Bar B,4.5,75,"How much I love this little standing bar! Let me count the ways: 
Initially, it was the $5 happy hour wine that sounded alluring. 
The selection is ample...",bar-b-new-york
42,"[Category(name='Cafes', alias='cafes'), Category(name='Wine Bars', alias='wine_bars'), Category(name='Cocktail Bars', alias='cocktailbars')]","(40.7877696714384, -73.9538384601474)",Da Capo,4.5,122,"Absolutely in love with this hidden gem!

Stumbled upon this place via Yelp while in the area. 

Ordered an iced macchiato and a prosciutto & mozzarella...",da-capo-new-york-2
43,"[Category(name='Lounges', alias='lounges'), Category(name='American (Traditional)', alias='tradamerican')]","(40.7616386, -73.9859085)",Lillie's Victorian Bar & Restaurant,4.0,791,"Definitely go here! Lillies is an eclectic place, lovely decor and loads to see inside. The waitresses are extremely friendly and helpful.
I had the...",lillies-victorian-bar-and-restaurant-new-york-3
44,"[Category(name='Bars', alias='bars'), Category(name='Comfort Food', alias='comfortfood')]","(40.78736, -73.95166)",Earl's Beer & Cheese,4.0,435,Earl's is a local gem! When we first started going here it was a tiny cubby hole of delights and getting a seat/table could be a challenge BUT worth the...,earls-beer-and-cheese-new-york
45,"[Category(name='Beer Bar', alias='beerbar')]","(40.7789842521222, -73.9830464352102)",Gebhard's Beer Culture,4.5,14,"I'm really enjoying the fun, chill vibe here so far. Of course, it's only been open for a week, and they haven't even hung their permanent signage, or...",gebhards-beer-culture-new-york
46,"[Category(name='Pubs', alias='pubs'), Category(name='American (Traditional)', alias='tradamerican'), Category(name='Sports Bars', alias='sportsbars')]","(40.785831451416, -73.9759674072266)",George Keeley,4.0,263,If ur ever uptown ny best place to go to for sum quick finger food cheeseburger sliders chicken and cheese sliders and best garlic parm fries and the...,george-keeley-new-york
47,"[Category(name='British', alias='british'), Category(name='Pubs', alias='pubs'), Category(name='Gastropubs', alias='gastropubs')]","(40.7560908823673, -73.9804858350908)",Cock & Bull,4.0,273,"This place is superb! I took my fiances family for a proper Shepherds pie and it did not disappoint! 

The staff was friendly, attentive and full of energy....",cock-and-bull-new-york
48,"[Category(name='Bars', alias='bars'), Category(name='American (Traditional)', alias='tradamerican'), Category(name='Music Venues', alias='musicvenues')]","(40.78526, -73.97284)",Prohibition,3.5,284,"Here's what we wanted last night: a decent Happy Hour.  Here's what we got: a really good Happy Hour at a bar we had never been to.

The dark coolness was a...",prohibition-new-york
49,"[Category(name='Dive Bars', alias='divebars')]","(40.765356, -73.984113)",Barcelona Bar,4.0,315,"This place is absolutely amazing. Our barte see this big bearded man was funny and intelligent.Made great drink. Drinks I tried 
Monica Lewinsky
Blue Star",barcelona-bar-new-york
50,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Dive Bars', alias='divebars'), Category(name='Comedy Clubs', alias='comedyclubs')]","(40.7159819101673, -73.9893277618757)",Old Man Hustle,4.5,114,"Iman is a great bartender- super friendly and watches over people's drinks as they step out for air or for a smoke. Place has an amazing atmosphere, I went...",old-man-hustle-new-york-2
51,"[Category(name='Cocktail Bars', alias='cocktailbars')]","(40.7833619, -73.979579)",Manhattan Cricket Club,4.0,80,"Getting into this place is the first obstacle but if you can wait for the staff to call your name, it's worth it. The cocktails are supreme as they are...",manhattan-cricket-club-new-york-3
52,"[Category(name='Bars', alias='bars')]","(40.7794365510225, -73.9633083343506)",Met Roof Garden Cafe & Martini Bar,4.5,104,"Omg, SO beautiful. 

I am a native New Yorker and I have never been, but I am so happy I finally made it.

The views were spectacular which I didn't expect...",met-roof-garden-cafe-and-martini-bar-new-york
53,"[Category(name='Cocktail Bars', alias='cocktailbars')]","(40.75964943513, -73.991308284398)",Réunion,4.0,503,This is one of my favorite bars in the city! They have a great happy hour that goes until 8 every day and a taco tuesday night that you can't miss! I love...,réunion-new-york-3
54,"[Category(name='Irish', alias='irish'), Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='British', alias='british')]","(40.781227, -73.948913)",The Milton,4.5,165,"FISH AND CHIPS ... Oh my! As a Brit living on the Upper East I really miss this cuisine.... The deep fried, batter covered fish served with chunky fries is...",the-milton-new-york
55,"[Category(name='Beer Bar', alias='beerbar')]","(40.759495, -73.989769)",Beer Culture,4.0,229,"A great selection of bottles, a knowledgeable staff, really good food, and a fridge full of Genny  cans just to keep it real.

With a bunch of vertical...",beer-culture-new-york
56,"[Category(name='Lounges', alias='lounges'), Category(name='Cocktail Bars', alias='cocktailbars')]","(40.7386932373047, -73.9946212768555)",Raines Law Room,4.5,1125,"Speakeasies are so cool haha

This place is different than other speakeasies I've been to. You get walked to a specific section/shared table area based on...",raines-law-room-new-york
57,"[Category(name='Cocktail Bars', alias='cocktailbars')]","(40.75884, -73.97881)",SixtyFive,4.5,93,I was meeting my niece and her roommate for dinner in NYC and wanted to go someplace fabulous with a view so I decided on Bar 65 at the Rainbow Room at...,sixtyfive-new-york-2
58,"[Category(name='Bars', alias='bars'), Category(name='American (New)', alias='newamerican')]","(40.7614, -73.9609)",Treadwell Park,4.0,88,"My wife, a friend visiting and I gave this place a shot last night and it didn't disappoint!  The bartenders are very knowledgable of the exotic beer list...",treadwell-park-new-york
59,"[Category(name='Pubs', alias='pubs')]","(40.7327766418457, -73.9852142333984)",The Winslow,4.5,295,I had a wonderful time at The Winslow celebrating my partner's birthday. I worked with Cait to reserve one of their communal hightop tables (as the private...,the-winslow-new-york-2
60,"[Category(name='Pubs', alias='pubs'), Category(name='Sports Bars', alias='sportsbars'), Category(name='Gastropubs', alias='gastropubs')]","(40.7629158108786, -73.9761248066812)",Judge Roy Bean Public House,4.5,236,After a long day of traveled we needed some dinner and ended up here since close to our hotel and had great reviews!! I have to say this was one of my...,judge-roy-bean-public-house-new-york
61,"[Category(name='Lounges', alias='lounges')]","(40.7683154001822, -73.9848228988891)",Library Bar at Hudson,4.0,167,"Probably one of my favorite bars in Manhattan.  Impeccable service, cozy, but sophisticated, ambiance, and delicious cocktails.  There's always good music...",library-bar-at-hudson-new-york
62,"[Category(name='Bars', alias='bars'), Category(name='Coffee & Tea', alias='coffee')]","(40.7808826541561, -73.9493867730213)",DTUT,4.0,289,"I wanted to hate this place. I mean, it really has all the right ingredients to bring out my ire. It is ultra hip. There is an old record player. It screams...",dtut-new-york
63,"[Category(name='American (New)', alias='newamerican'), Category(name='Beer Bar', alias='beerbar')]","(40.777292, -73.951854)",Bondurants,4.0,311,"First time I went here was for brunch and they didn't have their normal menu (stuck with beer). This time around on a Wednesday afternoon, got to sample...",bondurants-new-york
64,"[Category(name='Dive Bars', alias='divebars')]","(40.798793, -73.962837)",Bob's Your Uncle,4.0,27,"Friday night at this place...loved it .
There's a lot of space..the beers on tap are great...love their chalk board that lets you buy someone a drink later...",bobs-your-uncle-new-york-2
65,"[Category(name='Mediterranean', alias='mediterranean'), Category(name='Tapas Bars', alias='tapas'), Category(name='Wine Bars', alias='wine_bars')]","(40.7905731201172, -73.9477157592773)",The Lexington Social,4.0,138,Lexington social is me and my boyfriends goto brunch every Saturday or Sunday! I haven't had a chance to eat dinner or drink cocktail but I bet they are...,the-lexington-social-new-york
66,"[Category(name='Cocktail Bars', alias='cocktailbars')]","(40.719125, -73.985732)",Nitecap,4.5,166,"My cocktails came out of a big discoball. Life is complete. 

That $75 punch came out to about 10-12 cocktails, worth it! We got 2 punch bowls (aka...",nitecap-new-york
67,"[Category(name='Lounges', alias='lounges'), Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Piano Bars', alias='pianobars')]","(40.7596825, -73.9863504)",The Rum House,4.0,316,"AWESOME, AWESOME PLACE.

After visiting a horrendous club/bar place next door, my friends and I left and we headed out to find another place. This place...",the-rum-house-new-york
68,"[Category(name='Coffee & Tea', alias='coffee'), Category(name='Bars', alias='bars'), Category(name='Tabletop Games', alias='tabletopgames')]","(40.729331, -73.998649)",The Uncommons,4.5,163,"Let me write this review for those who are not familiar with this type of places. Those who are don't read reviews, they just go. 

This is an import from...",the-uncommons-new-york
69,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Burgers', alias='burgers'), Category(name='Beer Bar', alias='beerbar')]","(40.785961, -73.976669)",Joe's,4.0,116,Came on a Saturday night with family. The music wasn't too loud for older family members or too crowded. If you come try to get one of the front tables by...,joes-new-york
70,"[Category(name='Wine Bars', alias='wine_bars'), Category(name='Vegan', alias='vegan'), Category(name='Organic Stores', alias='organic_stores')]","(40.7649986274526, -73.9659830279587)",Le Botaniste,4.5,71,"Not only is this place beautifully decorated, but the food is fantastic too! the atmosphere is clean, trendy and very welcoming. There is a large counter...",le-botaniste-new-york
71,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='Lounges', alias='lounges')]","(40.7360568971331, -73.9872401005554)",Dear Irving,4.5,357,"Perfect perfect perfect.
My fiancée and I met here a year ago, so every 6 months we stop into Dear Irving to remember the amazing first date we had there,...",dear-irving-new-york
72,"[Category(name='Dive Bars', alias='divebars')]","(40.79422, -73.94006)",The Duck,3.5,77,The bras are history. Sorry. The decor remains eclectic and odd in a non-contrived way. Ditto for the clientele. Come in and see one of the most bizarre DIY...,the-duck-new-york
73,"[Category(name='Pubs', alias='pubs')]","(40.76596, -73.98737)",Valhalla,4.0,393,"I came here after having a few drinks down the street because Bar Bacon was full. So glad that we did. Please excuse this short review because, fortunately,...",valhalla-new-york
74,"[Category(name='Lounges', alias='lounges'), Category(name='Wine Bars', alias='wine_bars'), Category(name='American (New)', alias='newamerican')]","(40.734966, -74.008028)",The Otheroom,4.0,252,"A dark, candle-lit, out-of-the way bar with an excellent soundtrack loud enough to hear but not loud enough to force you to shout, an excellent beer...",the-otheroom-new-york-2
75,"[Category(name='Bars', alias='bars'), Category(name='American (New)', alias='newamerican'), Category(name='Cafes', alias='cafes')]","(40.8177749639411, -73.9420940726995)",Hyacinth's Haven,4.5,72,"Between Joey's alchemy behind the bar and Hyacynth's cuisine, you will never leave unhappy from here. Meeting long-time regulars also drove in the fact that...",hyacinths-haven-new-york
76,"[Category(name='Bars', alias='bars'), Category(name='American (Traditional)', alias='tradamerican')]","(40.7331, -74.0067)",The Warren,4.5,45,"This spot is legit.

Somehow they still impress even before they have their full liquor license. I'm a fan!

Key highlights include:
- awesome happy hour...",the-warren-new-york
77,"[Category(name='Pubs', alias='pubs'), Category(name='American (New)', alias='newamerican')]","(40.77622, -73.95052)",Ryan's Daughter,4.0,196,"I've been going to Ryan's for years but just thought to write a review. In short, the reason why I go to bars are the people and environment. In both...",ryans-daughter-new-york
78,"[Category(name='Lounges', alias='lounges'), Category(name='Pubs', alias='pubs'), Category(name='Cocktail Bars', alias='cocktailbars')]","(40.7300334907642, -73.9818279024468)",Keybar,4.0,489,"HAPPY HOUR AMAZING!

lasts until 10pm 
BOGO! (buy one get one) deal.

I had the Freaky Seabreeze & The Remedy!

Both these drinks were mixed very well & the...",keybar-new-york
79,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='American (New)', alias='newamerican'), Category(name='Gastropubs', alias='gastropubs')]","(40.7410658150911, -73.9814487844706)",HandCraft Kitchen & Cocktails,4.5,105,"One night, 4 friends were looking for a place to have wine and good food after work. Thanks to Yelp, they came across with Handcraft Kitchen and lived...",handcraft-kitchen-and-cocktails-new-york
80,"[Category(name='Lounges', alias='lounges'), Category(name='Cocktail Bars', alias='cocktailbars')]","(40.75082, -73.98012)",Raines Law Room at the William,4.5,151,"+ unbeatable ambiance and service!
+ Great if Old Fashioned is your drink, they've got a MAKE YOUR OWN list!
+ very knowledgeable staff who can pick...",raines-law-room-at-the-william-new-york-3
81,"[Category(name='Pubs', alias='pubs'), Category(name='Art Galleries', alias='galleries')]","(40.7327283010334, -73.9977158235951)",Arts and Crafts Beer Parlor,4.5,158,"First of all, this place is amazing! When I think of my trip to New York, this is the place I think about the most. I constantly search for an Arts and...",arts-and-crafts-beer-parlor-new-york
82,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='American (New)', alias='newamerican')]","(40.752472, -73.991463)",Juniper,4.0,115,"Delicious all around. Burgers and tacos are on point. Mac and Cheese Spring Rolls are Ah-mazing. 

Blue lemonade a bit tart for my taste.",juniper-new-york
83,"[Category(name='American (New)', alias='newamerican'), Category(name='Lounges', alias='lounges')]","(40.733428, -74.006072)",Employees Only,4.0,1086,"Wow, this speakeasy is truly spectacular.

Our waitress looked like she was pulled out of a 1920s magazine: bob-length haircut, long pearl necklace. I...",employees-only-new-york
84,"[Category(name='Cocktail Bars', alias='cocktailbars')]","(40.7873569, -73.9517028)",The Guthrie Inn,4.5,84,"This is the best bar in that area.  Some cocktail bars have to hire people who are pretentious piss flaps.  This place has nice cocktails, staff is cool,...",the-guthrie-inn-new-york
85,"[Category(name='Pubs', alias='pubs')]","(40.7650840967709, -73.9918056894333)",The Waylon,4.5,41,"great place with solid bar food.  everything about the waylon is liad back and easy.   the music, other patrons, staff.  just a comfortable to grab a few...",the-waylon-new-york
86,"[Category(name='Wine Bars', alias='wine_bars'), Category(name='Comfort Food', alias='comfortfood'), Category(name='Gluten-Free', alias='gluten_free')]","(40.772189, -73.955029)",Heidi's House,4.5,417,"Probably one of the best dinner spots in the UES. Come here!

Going in, we were pretty much set on the mac & cheese and paella, but the waiter highly...",heidis-house-new-york-2
87,"[Category(name='French', alias='french'), Category(name='Wine Bars', alias='wine_bars')]","(40.7327, -73.99766)",Amélie,4.5,1370,Excellent! We had delicious food and fantastic service. My husband and I arrived at 7pm on Sunday night and grabbed two seats at the bar. We ordered the...,amélie-new-york
88,"[Category(name='Bars', alias='bars'), Category(name='Music Venues', alias='musicvenues'), Category(name='Modern European', alias='modern_european')]","(40.7507286071777, -74.0041351318359)",The Heath,4.0,204,"Beautiful atmosphere and wonderful music.  The whole experience of this place takes you away to some other world.

The setup of the venue is very nicely...",the-heath-new-york
89,"[Category(name='Pubs', alias='pubs')]","(40.8239852046558, -73.949343390213)",Hogshead Tavern,4.5,101,"Table for 4
Date of Dining: April 10, 2016
Time: Brunch

At first glance: Once on the very quite street of Hamilton Pl. you will notice the the industrial...",hogshead-tavern-new-york-2
90,"[Category(name='Cocktail Bars', alias='cocktailbars')]","(40.745288848877, -73.9794616699219)",Middle Branch,4.0,266,SOPHIA IS AMAZING!  My friends and I came here during memorial day weekend and had the most amazing drinks!  Sophia was our bartender and she was attentive...,middle-branch-new-york
91,"[Category(name='Cocktail Bars', alias='cocktailbars')]","(40.7448311, -73.9882736)",The NoMad Bar,4.5,226,"One of the best meals I've ever had. Chicken pot pie was amazing. I went with a bunch of friends to New York and out of all the places, this was the best by...",the-nomad-bar-new-york-2
92,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='American (New)', alias='newamerican')]","(40.7748794555664, -73.9542541503906)",The Gilroy,4.0,97,Came here for drinks and dinner with friends on a Wednesday night. The place was pretty full and there was a film crew across the street filming the Jim...,the-gilroy-new-york
93,"[Category(name='Lounges', alias='lounges')]","(40.763725, -73.992111)",On The Rocks,4.0,166,"When you walk into a bar and look the bartender dead in the eyes and say I'm excited to be here, buttttt I don't like whiskey, what else can you make me,...",on-the-rocks-new-york-2
94,"[Category(name='Cajun/Creole', alias='cajun'), Category(name='Cocktail Bars', alias='cocktailbars')]","(40.7799512, -73.9498632)",Infirmary,4.0,236,"The food here is really good! Definitely a spot to hit up. Unfortunately I can't comment too much on the flavors cause I went there over a month ago, but...",infirmary-new-york
95,"[Category(name='Bars', alias='bars')]","(40.7445602, -73.9941101)",One Star,4.0,75,"Reasons I Like This Bar (worth One Star each).

1. There's a beer/shot combo called the Moron's Delight.
2. They serve Pop Tarts and champagne out of a...",one-star-new-york
96,"[Category(name='Dive Bars', alias='divebars')]","(40.7979207, -73.9692688)",Broadway Dive Bar,4.0,73,"Broadway Dive has become one of my regular bars in the city. There are often many Friday or Saturday nights when I don't want to go out, but, by the same...",broadway-dive-bar-new-york
97,"[Category(name='Dive Bars', alias='divebars'), Category(name='Burgers', alias='burgers')]","(40.708137, -74.004943)",Iron Horse NYC,4.0,285,"#Really cheap on Sundays. They have $2 cans of beer until 8pm and $1 burgers and dogs until 10pm. So if you get there before 8pm, you are set for both. Get...",iron-horse-nyc-new-york
